Year ending September,Area name,Total recorded crime (excluding fraud),Violence against the person,Homicide,Death or serious injury - unlawful driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes,Population mid-year estim
2023,Hampshire,170384,69956,15,21,20628,25959,23333,7054,1384,46808,7814,5130,2684,10804,1116,2051,12861,12162,15294,5793,2279,19059,2757,
2023,Kent,171594,73757,18,77,17915,33868,21879,6439,1115,46238,6196,4438,1758,9396,1084,1178,14376,14008,19813,5500,1533,11333,5866,
2023,Surrey,74072,27918,4,16,7242,12144,8512,2456,464,23116,3698,2722,976,6602,466,918,4626,6806,7224,2445,668,8121,1660,
2023,Sussex,134758,48161,10,35,14778,19734,13604,5444,1041,43798,5332,3070,2262,7936,1129,2056,16083,11262,13749,3768,2420,13710,2667,
2023,Thames Valley,183254,69363,12,20,17795,28125,23411,6445,1347,60941,7952,5286,2666,15735,3198,3622,13529,16905,15996,5982,1765,17879,3536,
2023,South West,394220,158975,48,78,45933,64371,48545,17178,3746,112464,17223,10865,6358,22278,2964,5207,32592,32200,41768,9672,3704,38586,8127,
2023,Avon and Somerset,142455,53130,15,3,13546,22313,17253,5465,1952,44352,6217,3972,2245,9623,934,2391,13434,11753,14156,2662,1008,17339,2391,
2023,Devon and Cornwall,103279,45416,15,62,14955,18600,11784,5586,625,23783,3413,1977,1436,3951,931,630,6722,8136,12562,3835,1531,7386,2555,
2023,Dorset,51683,19998,7,6,5714,7616,6655,2135,446,17390,2824,1809,1015,4003,476,749,4486,4852,5710,1026,327,4040,611,
2023,Gloucestershire,54008,23060,7,2,5739,8482,8830,2151,392,14562,2917,1996,921,2415,344,787,3780,4319,4544,1088,399,6184,1628,
2023,Wiltshire,42795,17371,4,5,5979,7360,4023,1841,331,12377,1852,1111,741,2286,279,650,4170,3140,4796,1061,439,3637,942,
2023,WALES,269561,112936,22,55,28704,39743,44412,9835,991,65543,9203,5836,3367,11186,1457,2606,21640,19451,29875,7826,1995,34540,6020,
2023,Dyfed-Powys,40873,19933,5,4,3751,7258,8915,1605,70,6673,1254,854,400,540,208,121,1935,2615,4163,1979,286,5311,853,
2023,Gwent,58662,24071,4,16,6246,8314,9491,1740,315,12800,2237,1490,747,2739,228,274,3560,3762,7309,1388,446,9058,1535,
2023,North Wales,58714,27494,4,3,6408,10679,10400,2468,144,12793,1839,1233,606,1132,121,289,4842,4570,6594,1445,396,6041,1339,
2023,South Wales,111312,41438,9,32,12299,13492,15606,4022,462,33277,3873,2259,1614,6775,900,1922,11303,8504,11809,3014,867,14130,2293,
2023,British Transport Police,72401,12707,1,0,3478,8931,297,1952,1728,31544,367,1,366,1837,10616,4995,2715,11014,7967,3107,764,12166,466,
2022,ENGLAND AND WALES,5531610,2135492,663,790,580542,834067,719430,199021,70881,1635270,277237,195692,81545,391613,102007,78619,304491,481303,543590,177105,54430,599939,115882,
2022,ENGLAND,5197575,2006236,620,765,547500,785744,671607,186714,68544,1553373,267041,188678,78363,379493,94301,70873,287015,454650,504111,166504,52000,550383,109710,
2022,North East,279642,106450,39,53,29916,38338,38104,10099,1870,75427,14594,10338,4256,14744,1656,3079,19516,21838,39409,6308,2350,30832,6897,
2022,Cleveland,79547,29730,9,13,7141,10899,11668,2625,859,22039,4632,3515,1117,4075,536,829,6490,5477,10650,2123,707,8842,1972,
2022,Durham,59766,23928,4,22,5741,8805,9356,2226,178,14411,3144,2151,993,2513,222,392,4134,4006,9500,1419,402,6058,1644,
2022,Northumbria,140329,52792,26,18,17034,18634,17080,5248,833,38977,6818,4672,2146,8156,898,1858,8892,12355,19259,2766,1241,15932,3281,
2022,North West,804790,328253,92,168,80425,128904,118664,27449,8194,201817,43032,31595,11437,43994,10042,7372,37727,59650,79091,25887,8302,107260,18537,
2022,Cheshire,88677,41296,2,11,10406,13869,17008,3750,404,17869,3266,2442,824,2856,364,970,4271,6142,7810,1761,478,13613,1696,
2022,Cumbria,39345,17306,2,12,5013,6338,5941,1814,152,7841,1675,1046,629,912,98,237,2058,2861,5313,1011,363,4760,785,
2022,Greater Manchester,366124,138655,46,97,31694,55369,51449,11672,5255,103291,23400,17924,5476,25497,6274,3280,16006,28834,33251,8463,4625,51800,9112,
2022,Lancashire,138295,59941,19,19,17564,22893,19446,5353,1039,37658,8155,5324,2831,7485,929,1146,8178,11765,16740,2503,1474,10251,3336,
2022,Merseyside,172349,71055,23,29,15748,30435,24820,4860,1344,35158,6536,4859,1677,7244,2377,1739,7214,10048,15977,12149,1362,26836,3608,
2022,Yorkshire and The Humber,613893,247344,76,89,64622,89311,93246,19560,5724,160981,32897,23988,8909,35208,5139,6223,37191,44323,65707,15403,5291,78216,15667,
